Target, Prediction
151.0000,213.6263
185.0000,164.6485
233.0000,228.8598
178.5000,170.9712
67.5000,121.0677
293.5000,164.3418
97.0000,65.8802
144.0000,204.3002
103.0000,121.0837
198.0000,153.4931
247.0000,230.8819
154.0000,73.6161
257.0000,182.0295
255.0000,193.7655
104.5000,112.6260
197.5000,156.4009
191.0000,223.3228
35.5000,107.3057
155.5000,136.5112
160.0000,208.0038
146.8000,132.7090
142.8000,105.8268
156.0000,111.5950
149.0000,157.3649
234.2000,213.7788
202.5000,201.3521
229.5000,228.9287
178.5000,157.4227
120.0000,91.8015
293.0000,187.2994
114.5000,135.4702
237.0000,231.0330
280.2000,245.9863
55.6000,108.6976
179.0000,191.9380
57.0000,80.8425
138.5000,145.0367
166.0000,161.5479
159.0000,135.7410
163.0000,150.4582
156.0000,130.4656
108.5000,108.4916
307.5000,211.0460
155.5000,179.0919
193.0000,101.3434
106.5000,125.8452
39.0000,73.7579
164.5000,248.0871
175.0000,97.5300
261.0000,197.2181
118.0000,186.6216
131.0000,169.4026
188.0000,108.7388
171.0000,233.5670
38.0000,71.0201
168.5000,140.7680
107.0000,130.3077
222.0000,120.9603
118.0000,132.7297
85.0000,71.3132
209.0000,196.3079
146.0000,151.1644
66.0000,82.1087
150.0000,157.5466
75.0000,108.3640
198.5000,181.4217
254.5000,211.8217
311.0000,106.4121
352.0000,228.8828
125.0000,182.9455
192.0000,195.2556
130.0000,135.4488
230.0000,165.2936
195.2000,211.6458
121.0000,155.9768
203.5000,127.5913
164.0000,98.2719
46.8000,81.3688
143.8000,89.0999
90.5000,107.9799
172.5000,189.4821
153.0000,151.1498
294.0000,306.2181
214.0000,129.4440
78.5000,118.4813
117.0000,75.3905
203.5000,169.0429
97.5000,149.3163
89.0000,149.8658
223.5000,245.8141
332.0000,231.6722
236.5000,233.8369
169.0000,94.8608
255.0000,139.7056
87.0000,89.0785
155.0000,210.2079
207.0000,174.0143
132.5000,145.5064
204.8000,174.0947
256.5000,202.3500
166.0000,166.3260
199.0000,168.4507
133.5000,101.2572
197.5000,197.3697
61.0000,84.5234
132.5000,106.8342
59.5000,82.2790
219.5000,184.6315
124.5000,146.7247
159.5000,180.2429
170.0000,204.8477
152.8000,118.0684
81.5000,89.1660
87.0000,130.5331
134.5000,186.5466
139.0000,66.8284
140.5000,178.4090
144.0000,123.6735
298.0000,219.5803
240.0000,124.6186
292.0000,295.7193
115.5000,100.2167
109.0000,141.9303
74.0000,193.2247
79.5000,142.4749
113.0000,111.4924
202.5000,208.5856
174.0000,196.1716
277.5000,221.2155
164.0000,125.7612
152.0000,162.4634
185.5000,198.0878
221.5000,191.7344
142.5000,156.0343
164.0000,161.9350
165.5000,186.9010
95.0000,127.1471
210.0000,195.9141
176.0000,158.5453
198.0000,231.6803
63.5000,87.3132
249.5000,242.8243
161.0000,170.1590
206.0000,175.0152
96.0000,87.9588
158.0000,214.7513
111.5000,116.7254
147.5000,130.0531
55.5000,94.0016
215.0000,210.8088
185.5000,196.2830
145.5000,153.7383
134.0000,117.9599
166.0000,188.3837
258.0000,204.2733
78.0000,99.5829
281.0000,197.7572
223.8000,141.0474
95.0000,163.4451
156.5000,197.2474
200.5000,149.4354
170.0000,165.4456
216.0000,171.6849
240.0000,156.3700
97.0000,127.0462
166.5000,133.2353
223.0000,171.0289
146.0000,176.1185
212.0000,207.8578
114.0000,134.5829
243.0000,229.3314
205.5000,137.3571
123.0000,169.4569
139.5000,172.3570
298.5000,103.3300
221.2000,191.3474
191.0000,159.9998
133.0000,89.1671
104.0000,120.8680
145.5000,156.5520
157.0000,200.6585
133.0000,181.7558
143.0000,193.7166
163.5000,152.7209
153.0000,132.2439
118.0000,177.0870
136.5000,115.0625
96.0000,116.6695
170.0000,202.6852
233.5000,152.1808
156.0000,202.5173
133.0000,105.6802
238.0000,180.0575
90.0000,93.4589
102.0000,143.4699
207.5000,201.1631
107.0000,130.1772
174.0000,178.2382
201.0000,173.0342
143.0000,104.4134
146.5000,141.1754
353.0000,226.7851
267.0000,226.3601
78.8000,109.8638
215.0000,112.7730
201.0000,70.5695
279.0000,171.9628
172.0000,184.7016
127.5000,144.3779
288.5000,191.7745
309.5000,221.3757
238.0000,164.3873
294.0000,308.9929
156.5000,115.7439
163.0000,124.9525
173.5000,130.3208
189.0000,181.2587
139.5000,147.3973
70.5000,99.7360
117.5000,116.0410
75.0000,111.2383
95.0000,153.8014
147.5000,240.1730
151.5000,137.3332
211.0000,232.7878
183.5000,136.2478
145.0000,167.3047
204.5000,161.9080
198.0000,193.1396
86.5000,94.5913
91.5000,88.9358
254.5000,218.4432
115.5000,122.6545
148.0000,169.3023
57.5000,83.9293
166.0000,133.1513
148.0000,149.4609
147.5000,151.5359
262.0000,182.0312
360.0000,313.7192
202.0000,201.3271
215.0000,202.4456
123.5000,136.4480
156.0000,200.0657
104.5000,131.5919
243.0000,180.1482
231.0000,182.3438
58.0000,74.0645
196.5000,180.7890
220.0000,209.1833
119.5000,123.6179
210.0000,143.1633
89.5000,153.2882
119.5000,155.1782
162.8000,123.3999
179.5000,130.6618
300.0000,327.1270
239.0000,238.0037
160.5000,177.9179
145.5000,115.3121
176.0000,194.5230
87.5000,81.1061
133.2000,108.5862
150.5000,148.0275
85.5000,90.8978
174.0000,111.1624
138.0000,190.0397
110.0000,168.5108
164.0000,181.3975
196.8000,166.1296
220.2000,194.4829
138.0000,177.7626
98.0000,124.3188
209.0000,163.0151
167.5000,177.2862
133.0000,193.1682
185.5000,206.0387
295.0000,295.3909
121.5000,190.2274
218.5000,127.7633
81.8000,140.3273
68.0000,91.3660
256.0000,257.8287
147.5000,229.5509
20.5000,211.2019
271.0000,247.3930
129.5000,140.7316
246.5000,191.5809
266.5000,228.1605
130.0000,158.8128
149.5000,163.0067
50.5000,112.1975
103.5000,142.1036
57.5000,82.7521
78.0000,95.5483
77.5000,86.2154
162.0000,128.4346
142.0000,145.4550
96.0000,140.9960
55.0000,116.2138
91.5000,88.3464
121.0000,146.7285
107.5000,139.3524
167.5000,167.6418
53.5000,104.0593
117.0000,154.8990
113.0000,177.3244
171.0000,196.3123
119.0000,88.6742
101.5000,175.1364
209.0000,164.9077
209.5000,183.0006
234.0000,148.4645
83.0000,108.2027
211.0000,197.7216
198.0000,148.9189
125.5000,47.4146
138.0000,147.3031
95.0000,224.5236
174.0000,204.3858
216.0000,253.0042
127.2000,130.0146
290.0000,189.1524
218.0000,159.3781
221.5000,183.9837
303.2000,132.1894
139.0000,120.2345
193.0000,188.7948
140.5000,183.5133
182.5000,113.6209
216.0000,105.6634
89.5000,81.1436
104.0000,147.2509
186.0000,100.6232
207.0000,171.0486
128.0000,194.6698
112.5000,127.9014
91.0000,88.4832
163.0000,117.0989
267.5000,165.8281
185.2000,171.7746
159.0000,121.3821
88.0000,94.0479
211.0000,247.3950
216.5000,160.8698
210.0000,199.5621
175.0000,121.8318
237.5000,124.1256
152.5000,162.2399
103.5000,152.8380
124.8000,110.0655
270.0000,165.1371
139.0000,205.2089
204.0000,186.7032
132.0000,192.8578
220.9000,226.7387
118.0000,145.7752
102.0000,114.6284
209.5000,210.3010
239.0000,233.5120
104.5000,144.4128
108.5000,147.2788
149.0000,121.9411
73.5000,90.5561
97.0000,103.0784
139.0000,170.4551
142.0000,151.5392
144.0000,170.5379
156.5000,142.4642
165.5000,175.7514
177.0000,187.7718
264.0000,196.3911
199.5000,233.3154
114.5000,156.4189
170.5000,119.8934
79.0000,89.5158
336.0000,313.6953
123.8000,144.6057
112.0000,129.9374
236.5000,195.2747
116.0000,193.2965
162.0000,100.1264
233.0000,159.7726
114.0000,97.7180
127.0000,161.1118
217.5000,214.5075
80.0000,105.0688
105.0000,146.7019
163.0000,148.0336
136.0000,137.7417
156.5000,110.0750
122.0000,137.3891
50.8000,134.6549
276.0000,238.4544
238.5000,133.8648
75.5000,132.0238
49.0000,107.8259
184.5000,150.4567
211.5000,161.6071
31.5000,76.6791
224.0000,123.5098
153.0000,103.4324
147.0000,188.9807
114.5000,128.2731
132.5000,86.4657
133.5000,151.4640
110.0000,167.3664
155.5000,184.6106
85.0000,84.8158
55.0000,131.0865
208.0000,137.8167
234.0000,225.1367
279.5000,233.6200
137.0000,154.5929
199.5000,267.6936
125.0000,137.9725
209.0000,205.5315
87.0000,110.4614
78.5000,125.3275
51.0000,85.9417
94.0000,104.2626
175.5000,174.6514
190.0000,116.4902
85.0000,97.5662
145.0000,86.0316
248.0000,250.3729
160.5000,148.1341
45.0000,130.5075
96.5000,102.7271
219.5000,203.6344
119.0000,148.5404
109.0000,131.5549
196.0000,133.8395
82.0000,84.0884
296.0000,224.3742
114.0000,67.9012
165.0000,89.2796
156.0000,142.5611
107.8000,143.3295
164.5000,193.5304
50.5000,97.3096
209.0000,202.9845
165.5000,201.9281
194.5000,109.2176
232.5000,184.0597
158.5000,123.9814
155.0000,124.0366
235.0000,204.8692
152.0000,140.9191
79.0000,142.0149
260.0000,217.5708
187.0000,156.9979
209.0000,184.0562
121.0000,148.7047
141.0000,152.8695
196.0000,154.4781
56.5000,120.7372
158.0000,59.7153
51.0000,64.3782
79.3000,101.6844
142.4000,100.5959
137.8000,130.2042
176.0000,92.7312
65.0000,75.5262
145.0000,135.6788
169.0000,182.2722
184.0000,113.0403
88.6000,80.0026
240.0000,114.0437
116.5000,115.0910
216.0000,250.1210
89.0000,114.1412
132.5000,176.5309
174.0000,234.0679
215.5000,155.5356
195.0000,167.0381
199.0000,153.5684
177.0000,118.6477
34.0000,96.4164
233.0000,130.8054
86.0000,113.4714
67.5000,123.7048
168.0000,145.6653
221.5000,193.8336
126.0000,122.8154
215.0000,177.3331
281.0000,185.1384
258.0000,165.7675
118.5000,176.3041
52.5000,105.2372
203.8000,151.5612
176.5000,181.4064
108.0000,196.5996
163.0000,176.9785
83.5000,129.7308
151.0000,179.0902
84.5000,96.6475
181.0000,174.1327
219.5000,247.0973
153.0000,171.4325
266.0000,202.9796
55.0000,77.3375
207.5000,219.6591
287.0000,217.7622
150.5000,175.2735
134.5000,147.8556
181.0000,109.5191
170.0000,119.6443
264.0000,225.8195
128.5000,182.9716
71.5000,131.6217
162.0000,144.0374
120.0000,93.4792
195.5000,165.5682
124.0000,127.4756
254.0000,152.3530
257.5000,176.6088
137.5000,142.1031
127.5000,115.4740
179.5000,234.0126
117.0000,182.2580
66.0000,67.4726
266.5000,275.9025
65.5000,143.1428
200.0000,249.5906
68.0000,124.0504
103.5000,166.2700
159.0000,130.7910
124.0000,156.1430
210.5000,172.1127
223.5000,165.2184
300.8000,170.4471
171.0000,117.1456
260.0000,274.2897
160.0000,137.1739
194.0000,79.2642
76.0000,88.1851
258.5000,237.8954
201.0000,169.2917
274.5000,235.9101
123.5000,93.3715
148.0000,213.8372
161.0000,192.7654
289.0000,225.0163
222.0000,194.5823
141.0000,117.7934
148.0000,133.1532
120.0000,108.1882
169.0000,140.6915
80.0000,151.3896
211.5000,170.0069
253.0000,157.5273
212.0000,241.4119
186.0000,218.0054
186.5000,141.5089
126.0000,158.0679
159.5000,176.3634
229.2000,189.7222
170.5000,168.6961
231.5000,113.1812
64.5000,156.3814
326.0000,187.7887
272.0000,180.3001
123.5000,141.1906
136.5000,177.2670
157.0000,161.0737
102.0000,158.3472
102.5000,121.0513
284.0000,214.6391
156.0000,179.1770
137.5000,152.3704
236.0000,145.7566
151.5000,192.0817
243.5000,241.6847
191.0000,172.0773
230.0000,227.6306
155.5000,176.0406
197.0000,164.7503
284.0000,324.0148
41.0000,92.1588
178.0000,184.0760
92.0000,79.2233
90.5000,90.0787
78.0000,139.7282
190.0000,212.1969
221.5000,200.9055
221.0000,143.6681
175.0000,333.0885
69.5000,95.9671
209.0000,203.4388
134.0000,149.9437
93.2000,125.8376
114.4000,122.4714
175.5000,172.4779
145.0000,165.5332
181.0000,196.8226
211.0000,202.9536
191.0000,198.2979
300.0000,256.3322
177.5000,129.5939
157.5000,181.4856
151.0000,164.9567
249.5000,201.5722
174.0000,168.1872
215.0000,243.9728
92.5000,104.5691
126.5000,154.2748
186.0000,196.2237
175.5000,150.8402
250.0000,261.6972
152.0000,131.5805
164.0000,170.5101
170.5000,210.5987
175.0000,181.2537
131.5000,137.7576
281.0000,163.4361
239.0000,219.7898
227.5000,212.7575
93.0000,120.7405
147.0000,164.2396
132.5000,141.3882
210.5000,187.9550
195.0000,145.2086
41.5000,95.6849
98.0000,120.2828
152.0000,141.0972
196.5000,141.0983
192.0000,203.2772
153.0000,182.0292
139.5000,198.9956
199.0000,226.2242
137.5000,145.0646
71.5000,82.4370
187.0000,146.7523
208.0000,185.0126
98.0000,140.7810
102.0000,160.7925
248.0000,149.2139
125.0000,167.6635
193.5000,184.4128
190.2000,196.8940
72.0000,122.9178
178.5000,188.8164
280.0000,272.4684
128.5000,104.5096
94.0000,156.0842
125.0000,96.1369
222.5000,167.7983
82.5000,93.1590
150.0000,193.7648
111.5000,110.4795
140.0000,159.2351
176.0000,201.1533
82.0000,104.8980
88.5000,97.8473
168.0000,161.0058
127.0000,116.8688
123.5000,114.8971
237.0000,233.3510
59.0000,80.1740
84.0000,166.5183
144.0000,168.2975
172.5000,189.6089
270.0000,303.0930
160.5000,184.1103
244.5000,230.4416
144.5000,161.8501
161.0000,152.7415
103.0000,148.1705
115.0000,160.7302
219.0000,129.6891
113.0000,278.4902
301.0000,284.5034
237.5000,141.9926
92.0000,120.7884
127.5000,150.5612
157.5000,151.9082
120.5000,157.6116
119.0000,133.5110
221.0000,202.6901
171.0000,212.6921
267.0000,243.4754
95.0000,164.3828
105.2000,135.5905
254.0000,197.4768
133.0000,152.9600
198.0000,164.8547
194.0000,86.7070
86.5000,75.1562
209.0000,234.3069
206.5000,122.4370
212.5000,201.6387
147.0000,135.6829
238.5000,216.2061
204.0000,165.9592
120.0000,185.3499
179.0000,178.6158
163.0000,226.5218
126.5000,152.6931
225.8000,218.1481
155.0000,159.1278
30.5000,84.0022
144.1000,202.7619
160.5000,185.6225
100.5000,122.5438
260.0000,220.4554
131.0000,131.0620
236.0000,192.3740
77.0000,151.5664
198.0000,116.8401
255.0000,181.5617
175.0000,225.9032
107.5000,104.6433
72.0000,92.6597
60.5000,134.4117
123.5000,135.5036
216.0000,182.4993
286.5000,168.9702
192.5000,152.5246
106.0000,102.5818
122.0000,91.4236
119.5000,141.7221
208.0000,202.5591
207.0000,130.5850
131.5000,144.3554
114.0000,144.3665
145.5000,103.6770
184.5000,193.6271
82.2000,90.3470
51.0000,92.8453
116.0000,172.1121
100.0000,133.2697
176.5000,140.8630
155.0000,142.1793
114.0000,157.7091
151.0000,135.2491
186.2000,203.0202
118.9000,96.2928
91.0000,79.9290
270.0000,227.9960
196.0000,167.2878
210.0000,133.6372
208.0000,199.5367
143.0000,210.1431
171.0000,142.8686
63.5000,86.3538
190.1000,226.3789
118.5000,117.3488
179.5000,190.5979
133.0000,220.2154
213.0000,272.2398
245.0000,189.9819
190.0000,147.9233
249.5000,185.8463
260.0000,166.2302
