# Prediction, Target
-0.1749,0.6200
-4.6051,-5.8400
-8.5151,-11.6000
-8.6828,-9.1600
-7.7208,-8.0100
-8.1196,-9.1500
-7.7055,-8.6000
-6.5917,-7.2800
-8.3859,-7.9200
-8.1705,-8.9400
-7.6525,-7.6800
-7.0956,-7.2100
-7.2410,-7.4300
-7.6468,-7.4200
-6.5799,-6.4700
-1.7800,-4.3600
-7.7234,-8.5600
-7.5613,-8.7100
-6.6847,-6.5700
-6.9399,-7.3200
-1.7677,-4.7400
-1.8495,-5.0500
-6.3273,-7.3900
-1.5583,-1.0400
-1.4361,-3.5500
-1.9021,-4.3600
-1.7602,-1.5200
-0.5432,-0.4000
-5.3779,-5.2700
-7.8576,-7.8200
-8.3059,-7.6600
-7.8070,-7.3900
-7.2721,-7.8000
-6.7114,-7.9200
-6.5875,-7.2500
-4.2361,-3.1500
-3.9709,-3.1000
-6.2627,-6.2900
-6.2627,-6.2600
-3.4992,-2.6700
-1.5023,-4.8000
-4.1576,-3.3700
-6.0032,-6.0100
-3.4670,-2.6700
-3.4506,-2.6400
-2.0488,-3.4800
-2.7051,-1.3000
-1.2912,-2.4000
-1.1871,-3.6500
-4.4346,-4.7200
-1.2491,-4.2800
-2.1056,0.3800
-6.2515,-6.2700
-6.2515,-6.2500
-3.4109,-2.2100
-6.2103,-6.1400
-3.3098,-2.3400
-2.8703,-2.0500
-0.9576,-3.2200
-2.7766,-1.5500
-1.1833,-0.9200
-0.7924,-1.2200
-1.2163,-1.3000
-1.2927,-4.2600
-2.3813,-1.1900
-2.1099,0.3800
-1.4517,-2.8200
-5.5294,-5.2800
-5.5294,-5.2500
-2.6344,-1.7900
-4.3664,-4.8900
-2.5526,-1.2900
-2.1385,0.4500
-1.1057,-3.0000
-5.2285,-5.2100
-3.0575,-1.9400
-4.0501,-5.1700
-2.9843,-4.4000
-4.0058,-4.4000
-1.1293,-1.5900
-2.9627,-2.2300
-0.4328,0.5200
-0.4261,0.3200
-1.2941,-0.4200
-1.6856,-2.5100
-2.5136,-2.4600
-4.7726,-4.5400
-1.2099,-1.9600
-4.0066,-4.1400
-2.0451,-1.0600
-1.1324,-1.4100
-3.0502,-3.5200
-0.4661,-0.3100
-3.1071,-3.3000
-1.8885,0.5100
-1.5281,-1.1700
-2.1835,-2.1100
-2.0044,-2.4600
-1.2894,-1.5200
-2.1682,-2.1300
-4.3417,-4.2900
-3.0037,-3.2100
-1.7358,-1.5500
-1.8914,-1.4500
-1.4053,-0.8900
-1.5291,-0.8000
-1.2319,-1.9470
-0.9251,1.0200
-1.4606,-2.0900
-3.1017,-3.7600
-1.5806,-1.1100
-1.2135,-2.5600
-1.0021,-2.0300
-1.1749,-2.7300
