# Prediction, Target
-5.1418,-4.1600
-2.3479,-2.3600
-1.9717,-2.0800
-1.4525,-1.2200
-0.6720,-1.8360
-1.9881,-1.9900
-2.2373,-2.3900
-2.2018,-2.9600
-2.1562,-2.3500
-2.4994,-2.4200
-5.4102,-8.1760
-8.2689,-7.3900
-1.7422,0.3800
-2.3795,-3.0800
-3.8022,-1.7160
-2.0707,-2.1700
-4.4298,-4.5500
-3.1757,-4.8050
-0.7146,-2.2730
-6.2050,-6.2900
-4.0726,-4.4700
-1.6780,-1.6000
-2.6412,-2.6700
-0.7518,-1.3300
-0.7009,-1.3400
-4.5474,-6.1240
-1.6146,-1.9900
-3.8368,-4.1400
-3.7722,-3.5400
-3.5009,-3.8800
-3.9273,-3.4500
-0.9617,-0.6300
0.3587,0.9600
-2.2369,-3.4800
-2.9570,-5.0600
-4.1892,-4.9300
-2.8876,-2.1800
-8.4836,-8.0000
-8.9239,-8.2300
-4.5017,-3.3500
-1.5124,-1.8100
-0.7829,-0.4000
-1.7170,-4.7400
-3.2937,-3.3800
-0.8003,-0.0200
-3.1893,-4.3140
-3.8679,-3.0910
-1.0319,-0.8500
-1.9552,-2.3900
-2.5038,-1.2300
-1.9909,0.4300
-1.3514,-1.9200
-3.2816,-4.1400
-4.2161,-4.8710
-3.0432,-3.8960
-1.7383,-2.5800
-2.5031,-3.5830
-5.3133,-4.5760
-5.7371,-7.9200
-5.6447,-6.0100
-2.3094,-1.5500
-5.0586,-4.1730
-2.2000,-1.5200
-3.6412,-3.8500
-2.1410,-2.4100
-2.1032,-4.1500
-0.7518,1.0200
-1.3975,-3.8500
-1.9228,-2.0600
-2.3420,-4.5900
-1.5335,-4.2800
0.0972,-0.9000
-2.0095,-3.4000
-4.7635,-4.4200
-3.8368,-3.9300
-1.9758,-1.1600
-3.2988,-2.4610
-2.8609,-2.5230
-4.4828,-5.0000
-1.0885,-1.7400
-0.7518,-2.1000
-1.1451,-1.1400
-1.8369,-1.6600
-8.3257,-5.9150
-3.3776,-4.1000
-2.1483,-3.7700
-2.3508,-3.5900
-2.7412,-1.6610
-4.4172,-3.6580
-8.2689,-7.4200
-4.7872,-5.1400
-7.7726,-9.0180
-3.4548,-5.4700
-2.1389,-2.0000
-1.4408,-4.2500
-1.2035,-1.8070
-4.8231,-4.9070
-1.4476,-1.4580
-6.2050,-6.1400
-1.1293,-0.1800
-2.2000,-3.0400
-0.7518,0.3500
-0.8351,-1.8700
-1.9617,-1.8000
-7.4631,-8.0570
-1.1920,-2.5400
-3.7796,-4.7430
-2.1572,-2.4200
-5.5532,-5.3700
-1.7592,-4.3600
-7.6064,-7.4300
-7.7856,-8.5600
-8.2689,-7.8200
-4.0187,-4.2860
