# Prediction, Target
-3.5810,-3.6100
-4.4161,-3.1710
-2.2650,0.3800
-0.9955,-1.9900
-2.8925,-4.1500
-2.8746,-2.0500
-2.8095,-0.6240
0.0363,-0.1400
-0.9970,-0.4100
-3.2669,-6.2370
-3.0670,-3.1000
-2.6503,-3.8100
-4.1083,-2.6760
0.1775,1.1200
-6.9785,-6.5700
0.2606,0.9600
-0.7030,-0.7700
-0.7347,-2.2300
-5.8058,-2.9000
-0.1894,-0.8500
-0.6075,-1.0770
-1.0297,-0.8800
-8.2867,-8.6000
-1.5048,-0.2800
-4.5524,-2.2810
-2.6857,-1.8500
-3.6861,-3.3000
-3.7632,-4.4500
-2.0272,-2.2800
-3.7978,-6.6200
-1.6453,-3.6800
-1.5609,-0.7000
-1.9229,-2.0000
-4.9374,-5.8200
-0.6712,0.0000
-3.5828,-3.5300
-9.0282,-9.0180
-6.7716,-6.2600
-1.8782,-1.8000
-6.7845,-6.2500
-1.9264,-2.1800
-4.0911,-4.1200
-6.7716,-6.2900
-0.2347,-0.4900
-2.6092,-2.3900
-2.4000,-2.3700
-0.7656,-0.2900
-0.6738,-0.7900
-1.0584,-2.8100
-5.5464,-5.6400
-2.8018,-3.0910
-1.9964,-2.2200
-3.7795,-4.2400
0.9574,0.4800
-4.4633,-4.5000
-0.5546,-1.8070
-3.4279,-3.5000
-3.7274,-4.1100
-2.9463,-3.6640
-4.5069,-3.9520
-3.5805,-2.6470
-1.4920,-3.3700
-1.1221,-1.1600
-5.1493,-2.7300
-2.2773,-1.2500
-4.9078,-3.9270
-6.2382,-4.9300
-8.2217,-7.6800
-0.5669,-0.5900
-2.3625,-3.1800
-1.9519,-1.6400
-0.2048,-2.2100
-1.9262,-0.7000
-1.4261,-1.2400
-3.6645,-2.8780
-0.3418,0.6200
-2.2630,-3.0300
-0.9912,-0.7300
-1.3760,-2.2660
-9.4779,-3.5710
-1.1611,-1.3800
-3.4172,-2.2530
-4.5759,-4.6300
-1.8714,-3.1800
-2.3235,-2.4610
-2.5468,-2.0900
-2.1318,-2.3500
-1.0621,-4.0400
0.3495,0.2600
-2.9445,-3.3800
-6.3773,-4.4450
-0.3577,-0.1700
-2.3499,-2.8500
-11.1916,-3.9310
-0.3370,0.1500
-2.8388,-1.6400
-4.1722,-4.5500
-3.4760,-5.7200
-0.6205,-0.8070
-5.9973,-8.0570
-1.0856,-0.8900
-4.6208,-4.4600
-3.1981,-3.8100
-2.2501,-1.9700
-6.0154,-7.0000
-6.6372,-5.1840
-0.6140,-1.5200
-2.0556,-2.4000
-6.8906,-5.1150
-1.8441,-4.8000
-3.3212,-2.2400
-1.5500,-0.6700
-2.8123,-3.1900
-1.2669,-2.1500
