# Prediction, Target
-0.5088,0.6200
-4.2962,-5.8400
-4.8934,-11.6000
-4.9459,-9.1600
-4.9616,-8.0100
-4.9028,-9.1500
-4.9503,-8.6000
-5.0013,-7.2800
-4.9362,-7.9200
-4.9253,-8.9400
-4.9505,-7.6800
-4.9621,-7.2100
-4.9824,-7.4300
-4.9505,-7.4200
-5.0007,-6.4700
-1.1379,-4.3600
-4.9359,-8.5600
-4.9351,-8.7100
-5.0054,-6.5700
-4.9611,-7.3200
-1.4418,-4.7400
-1.8221,-5.0500
-5.0076,-7.3900
-1.2912,-1.0400
-1.1681,-3.5500
-1.5436,-4.3600
-1.7809,-1.5200
-0.7232,-0.4000
-4.2733,-5.2700
-4.9664,-7.8200
-4.9377,-7.6600
-4.9595,-7.3900
-4.9818,-7.8000
-4.9937,-7.9200
-5.0003,-7.2500
-3.5189,-3.1500
-3.2395,-3.1000
-5.0291,-6.2900
-5.0291,-6.2600
-2.6135,-2.6700
-1.2206,-4.8000
-3.2211,-3.3700
-5.0194,-6.0100
-3.1462,-2.6700
-2.8673,-2.6400
-2.3041,-3.4800
-2.4374,-1.3000
-1.0713,-2.4000
-0.9366,-3.6500
-3.3784,-4.7200
-1.2178,-4.2800
-2.1381,0.3800
-5.0294,-6.2700
-5.0294,-6.2500
-3.1058,-2.2100
-5.0300,-6.1400
-2.8955,-2.3400
-1.8855,-2.0500
-2.2772,-3.2200
-2.3870,-1.5500
-1.2093,-0.9200
-0.9586,-1.2200
-1.0675,-1.3000
-1.1453,-4.2600
-1.8599,-1.1900
-2.1423,0.3800
-2.0627,-2.8200
-4.6998,-5.2800
-4.6998,-5.2500
-2.4179,-1.7900
-3.2139,-4.8900
-2.0487,-1.2900
-2.1540,0.4500
-2.2857,-3.0000
-4.3001,-5.2100
-2.8224,-1.9400
-4.0412,-5.1700
-2.9873,-4.4000
-3.3074,-4.4000
-0.8452,-1.5900
-2.4589,-2.2300
-0.8281,0.5200
-0.8149,0.3200
-1.7105,-0.4200
-1.5794,-2.5100
-2.8939,-2.4600
-3.9165,-4.5400
-1.3796,-1.9600
-3.3510,-4.1400
-1.9354,-1.0600
-0.8914,-1.4100
-2.5149,-3.5200
-0.9890,-0.3100
-2.8701,-3.3000
-2.5082,0.5100
-1.3672,-1.1700
-1.9869,-2.1100
-2.0497,-2.4600
-1.4256,-1.5200
-1.9412,-2.1300
-3.5738,-4.2900
-2.6511,-3.2100
-1.6232,-1.5500
-1.8116,-1.4500
-1.2742,-0.8900
-1.4345,-0.8000
-2.3453,-1.9470
-1.5289,1.0200
-0.7725,-2.0900
-2.4494,-3.7600
-3.1355,-1.1100
-0.9511,-2.5600
-1.0287,-2.0300
-1.2019,-2.7300
